설문번호,그룹번호,설문문항번호,설문문항
22,1,1,1. 테스트교육과정 만족도
22,2,1,테스트교과1 테스트강사 만족도
24,1,1,교육만족도 설문지입니다
24,1,2,성별
24,1,3,직급
24,1,4,근무연수
24,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
24,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
24,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
24,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
24,1,9,직렬(직종)
24,1,10,근무처
24,5,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
24,5,2,교육운영에 관한 만족도 조사입니다.
24,5,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
24,5,4,이 과정의 교육인원은 적절하였습니까?
24,5,5,이 과정의 교육기간은 적절하였습니까?
24,5,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
24,5,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
24,5,8,교육시설 및 환경에 관한 만족도 조사입니다
24,5,9,"교육시설(강의실, 분임토의실 등)에 대해 만족하십니까?"
24,5,10,급식의 질 및 위생상태에 대해 만족하십니까?
24,5,11,교육효과에 관한 만족도 조사입니다.
24,5,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
24,5,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
24,5,14,이 과정에 대해 전반적으로 만족하십니까?
24,5,15,이 과정을 다른 동료에게 추천하시겠습니까?
24,5,16,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
26,1,1,글로벌비즈실무역량강화 과정 교육만족도 설문지입니다
26,1,2,성별
26,1,3,직급
26,1,4,근무연수
26,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?
26,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
26,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
26,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
26,1,9,직렬(직종)
26,1,10,근무처
26,2,1,교육운영과 관련된 설문 문항입니다.
26,2,2,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
26,2,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
26,2,4,이 과정의 교육인원은 적절하였습니까?
26,2,5,이 과정의 교육기간은 적절하였습니까?
26,2,6,이 과정의 교수방법(강의식/체험식/발표 등)은 교육내용을 이해하는데 효과적이었습니까?
26,2,7, 이 과정의 교재/교육자료는 교육내용을 이해하는데 도움이 되었습니까?
26,2,8,교육시설 및 환경과 관련된 설문 문항입니다.
26,2,9,교육시설(강의실/ 분임토의실 등)에 대해 만족하십니까?
26,2,10,급식의 질 및 위생상태에 대해 만족하십니까?
26,2,11,교육효과와 관련된 설문 문항입니다.
26,2,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
26,2,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
26,2,14,이 과정에 대해 전반적으로 만족하십니까?
26,2,15,이 과정을 다른 동료에게 추천하시겠습니까?
26,3,1,교과목 별 강의에 대해 어느 정도 만족하십니까?
26,3,2,충렬사 참배
26,3,3,부산가치공감
26,3,4,청탁금지법 등 반부패 청렴교육
26,4,1,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어주십시오.
41,1,1,강사만족도 문항 
41,1,2,교과목별 강사만족도 문항 입니다 답변필수 입니다
44,1,1,글로벌비즈실무역량강화 과정 교육만족도 설문지입니다
44,1,2,성별
44,1,3,직급
44,1,4,근무연수
44,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?
44,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
44,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
44,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
44,1,9,직렬(직종)
44,1,10,근무처
44,2,1,교육운영과 관련된 설문 문항입니다.
44,2,2,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
44,2,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
44,2,4,이 과정의 교육인원은 적절하였습니까?
44,2,5,이 과정의 교육기간은 적절하였습니까?
44,2,6,이 과정의 교수방법(강의식/체험식/발표 등)은 교육내용을 이해하는데 효과적이었습니까?
44,2,7, 이 과정의 교재/교육자료는 교육내용을 이해하는데 도움이 되었습니까?
44,2,8,교육시설 및 환경과 관련된 설문 문항입니다.
44,2,9,교육시설(강의실/ 분임토의실 등)에 대해 만족하십니까?
44,2,10,급식의 질 및 위생상태에 대해 만족하십니까?
44,2,11,교육효과와 관련된 설문 문항입니다.
44,2,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
44,2,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
44,2,14,이 과정에 대해 전반적으로 만족하십니까?
44,2,15,이 과정을 다른 동료에게 추천하시겠습니까?
44,3,1,교과목 별 강의에 대해 어느 정도 만족하십니까?
44,3,2,충렬사 참배
44,3,3,부산가치공감
44,3,4,청탁금지법 등 반부패 청렴교육
44,4,1,이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어주십시오.
73,1,1,교과목 별 만족도입니다.
73,1,2,강의내용 만족도
73,1,3,강의스킬 만족도
73,1,4,교육자료 만족도
74,1,1,교육만족도 설문지입니다
74,1,2,성별
74,1,3,직급
74,1,4,근무연수
74,1,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
74,1,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
74,1,7,귀하의 업무와 교육내용이 관련이 있습니까?
74,1,8,본 교육과정을 통해 귀하의 교육 목표를 달성하셨습니까?
74,1,9,직렬(직종)
74,1,10,근무처
74,5,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
74,5,2,교육운영에 관한 만족도 조사입니다.
74,5,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
74,5,4,이 과정의 교육인원은 적절하였습니까?
74,5,5,이 과정의 교육기간은 적절하였습니까?
74,5,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
74,5,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
74,5,8,교육시설 및 환경에 관한 만족도 조사입니다
