설문번호,그룹번호,설문문항번호,설문보기번호,설문보기
22,1,1,1,매우잘함
22,1,1,2,잘함
22,1,1,3,보통
22,1,1,4,못함
22,1,1,5,아주못함
22,2,1,1,매우잘함
22,2,1,2,잘함
22,2,1,3,보통
22,2,1,4,못함
22,2,1,5,아주못함
24,1,2,1,남
24,1,2,2,여
24,1,3,1,5급이상
24,1,3,2,6급(상당)
24,1,3,3,7급(상당)
24,1,3,4,8급
24,1,3,5,9급 이하 및 기타
24,1,4,1,5년 이하
24,1,4,2,6년~10년
24,1,4,3,11~15년
24,1,4,4,16년~20년
24,1,4,5,20년 이상
24,1,5,1,직무수행 능력향상
24,1,5,2,자기계발 및 공직관의 변화
24,1,5,3,교육이수시간(의무교육) 취득
24,1,5,4,심신의 재충전
24,1,5,5,기타
24,1,6,1,별 관심없이 듣기만 하였다
24,1,6,2,일부 참여하였다
24,1,6,3,적극 참여하였다
24,1,7,1,직접적으로 관련이 있다
24,1,7,2,간접적으로 관련이 있다
24,1,7,3,관련이 없다
24,1,8,1,매우그렇다
24,1,8,2,그렇다
24,1,8,3,보통이다
24,1,8,4,아니다
24,1,8,5,매우아니다
24,1,9,1,행정직군(일반행정/ 세무/ 전산/ 사회복지/ 방호 등)
24,1,9,2,기술직군(토목/ 건축/ 기계/ 운전/ 시설관리 등)
24,1,9,3,관리운영직군(사무/ 기계/ 통신 등)
24,1,9,4,기타(전문경력관/ 연구지도직/ 별정직/ 임기제 등)
24,1,10,1,시 본청
24,1,10,2,구(근)
24,1,10,3,직속기관/사업소
24,1,10,4,기타(공사/ 공단 등)
24,5,1,1,매우만족
24,5,1,2,만족
24,5,1,3,보통
24,5,1,4,불만
24,5,1,5,매우불만
24,5,3,1,매우만족
24,5,3,2,만족
24,5,3,3,보통
24,5,3,4,불만
24,5,3,5,매우불만
24,5,4,1,매우만족
24,5,4,2,만족
24,5,4,3,보통
24,5,4,4,불만
24,5,4,5,매우불만
24,5,5,1,매우만족
24,5,5,2,만족
24,5,5,3,보통
24,5,5,4,불만
24,5,5,5,매우불만
24,5,6,1,매우만족
24,5,6,2,만족
24,5,6,3,보통
24,5,6,4,불만
24,5,6,5,매우불만
24,5,7,1,매우만족
24,5,7,2,만족
24,5,7,3,보통
24,5,7,4,불만
24,5,7,5,매우불만
24,5,9,1,매우만족
24,5,9,2,만족
24,5,9,3,보통
24,5,9,4,불만
24,5,9,5,매우불만
24,5,10,1,매우만족
24,5,10,2,만족
24,5,10,3,보통
24,5,10,4,불만
24,5,10,5,매우불만
24,5,12,1,매우만족
24,5,12,2,만족
24,5,12,3,보통
24,5,12,4,불만
24,5,12,5,매우불만
24,5,13,1,매우만족
24,5,13,2,만족
24,5,13,3,보통
24,5,13,4,불만
24,5,13,5,매우불만
24,5,14,1,매우만족
24,5,14,2,만족
24,5,14,3,보통
24,5,14,4,불만
24,5,14,5,매우불만
24,5,15,1,매우만족
24,5,15,2,만족
24,5,15,3,보통
24,5,15,4,불만
24,5,15,5,매우불만
26,1,2,1,남
26,1,2,2,여
26,1,3,1,5급이상
26,1,3,2,6급(상당)
26,1,3,3,7급(상당)
26,1,3,4,8급
26,1,3,5,9급 이하 및 기타
26,1,4,1,5년 이하
26,1,4,2,6년~10년
26,1,4,3,11~15년
26,1,4,4,16년~20년
26,1,4,5,20년 이상
26,1,5,1,직무수행 능력향상
26,1,5,2,자기계발 및 공직관의 변화
26,1,5,3,교육이수시간(의무교육) 취득
26,1,5,4,심신의 재충전
26,1,5,5,기타
26,1,6,1,별 관심없이 듣기만 하였다
26,1,6,2,일부 참여하였다
26,1,6,3,적극 참여하였다
26,1,7,1,직접적으로 관련이 있다
26,1,7,2,간접적으로 관련이 있다
26,1,7,3,관련이 없다
26,1,8,1,매우그렇다
26,1,8,2,그렇다
26,1,8,3,보통이다
26,1,8,4,아니다
26,1,8,5,매우아니다
26,1,9,1,행정직군(일반행정/ 세무/ 전산/ 사회복지/ 방호 등)
26,1,9,2,기술직군(토목/ 건축/ 기계/ 운전/ 시설관리 등)
26,1,9,3,관리운영직군(사무/ 기계/ 통신 등)
26,1,9,4,기타(전문경력관/ 연구지도직/ 별정직/ 임기제 등)
26,1,10,1,시 본청
26,1,10,2,구(근)
26,1,10,3,직속기관/사업소
26,1,10,4,기타(공사/ 공단 등)
26,2,1,1,매우만족
26,2,1,2,만족
26,2,1,3,보통
26,2,1,4,아니다
26,2,1,5,매우아니다
26,2,8,1,매우만족
26,2,8,2,만족
26,2,8,3,보통
26,2,8,4,불만
26,2,8,5,매우불만
26,2,11,1,매우만족
26,2,11,2,만족
26,2,11,3,보통
26,2,11,4,불만
26,2,11,5,매우불만
26,3,1,1,매우만족
26,3,1,2,만족
26,3,1,3,보통
26,3,1,4,불만
26,3,1,5,매우불만
41,1,1,1,매우잘함
41,1,1,2,잘함
41,1,1,3,보통
41,1,1,4,못함
41,1,1,5,아주못함
44,1,2,1,남
44,1,2,2,여
44,1,3,1,5급이상
44,1,3,2,6급(상당)
44,1,3,3,7급(상당)
44,1,3,4,8급
44,1,3,5,9급 이하 및 기타
44,1,4,1,5년 이하
44,1,4,2,6년~10년
44,1,4,3,11~15년
44,1,4,4,16년~20년
44,1,4,5,20년 이상
44,1,5,1,직무수행 능력향상
44,1,5,2,자기계발 및 공직관의 변화
44,1,5,3,교육이수시간(의무교육) 취득
44,1,5,4,심신의 재충전
44,1,5,5,기타
44,1,6,1,별 관심없이 듣기만 하였다
44,1,6,2,일부 참여하였다
44,1,6,3,적극 참여하였다
44,1,7,1,직접적으로 관련이 있다
44,1,7,2,간접적으로 관련이 있다
44,1,7,3,관련이 없다
44,1,8,1,매우그렇다
44,1,8,2,그렇다
44,1,8,3,보통이다
44,1,8,4,아니다
44,1,8,5,매우아니다
44,1,9,1,행정직군(일반행정/ 세무/ 전산/ 사회복지/ 방호 등)
44,1,9,2,기술직군(토목/ 건축/ 기계/ 운전/ 시설관리 등)
44,1,9,3,관리운영직군(사무/ 기계/ 통신 등)
44,1,9,4,기타(전문경력관/ 연구지도직/ 별정직/ 임기제 등)
44,1,10,1,시 본청
44,1,10,2,구(근)
44,1,10,3,직속기관/사업소
44,1,10,4,기타(공사/ 공단 등)
44,2,1,1,매우만족
44,2,1,2,만족
44,2,1,3,보통
44,2,1,4,아니다
44,2,1,5,매우아니다
44,2,8,1,매우만족
44,2,8,2,만족
44,2,8,3,보통
44,2,8,4,불만
44,2,8,5,매우불만
44,2,11,1,매우만족
44,2,11,2,만족
44,2,11,3,보통
44,2,11,4,불만
44,2,11,5,매우불만
44,3,1,1,매우만족
44,3,1,2,만족
44,3,1,3,보통
44,3,1,4,불만
44,3,1,5,매우불만
73,1,1,1,매우만족
73,1,1,2,만족
73,1,1,3,보통
73,1,1,4,불만
73,1,1,5,매우불만
74,1,2,1,남
74,1,2,2,여
74,1,3,1,5급이상
74,1,3,2,6급(상당)
74,1,3,3,7급(상당)
74,1,3,4,8급
